1,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,214,,,,,196,619,,,,,,,,,,,,,,,,,,,,,,
225,209,,,,,197,755,,,,,,,,,,,,,,,,,,,,,,
226,610,,,,,198,755B,,,,,,,,,,,,,,,,,,,,,,
227,2,,,,,199,825,,,,,,,,,,,,,,,,,,,,,,
228,31,,,,,200,130,,,,,,,,,,,,,,,,,,,,,,
229,54,,,,,201,A1,,,,,,,,,,,,,,,,,,,,,,
230,Γ12,,,,,202,16,,,,,,,,,,,,,,,,,,,,,,
231,719,,,,,203,859,,,,,,,,,,,,,,,,,,,,,,
232,720,,,,,204,843,,,,,,,,,,,,,,,,,,,,,,
233,51,,,,,205,832,,,,,,,,,,,,,,,,,,,,,,
234,24,,,,,206,833,,,,,,,,,,,,,,,,,,,,,,
235,651,,,,,207,826,,,,,,,,,,,,,,,,,,,,,,
236,10,,,,,208,730,,,,,,,,,,,,,,,,,,,,,,
237,106,,,,,209,24,,,,,,,,,,,,,,,,,,,,,,
238,126,,,,,210,748,,,,,,,,,,,,,,,,,,,,,,
239,136,,,,,211,747,,,,,,,,,,,,,,,,,,,,,,
240,735,,,,,212,701,,,,,,,,,,,,,,,,,,,,,,
241,541,,,,,213,705,,,,,,,,,,,,,,,,,,,,,,
,,,,,,214,821,,,,,,,,,,,,,,,,,,,,,,
,,,,,,215,X93,,,,,,,,,,,,,,,,,,,,,,
,,,,,,216,732,,,,,,,,,,,,,,,,,,,,,,
,,,,,,217,811,,,,,,,,,,,,,,,,,,,,,,
,,,,,,218,865,,,,,,,,,,,,,,,,,,,,,,
,,,,,,219,409,,,,,,,,,,,,,,,,,,,,,,
,,,,,,220,224,,,,,,,,,,,,,,,,,,,,,,
,,,,,,221,203,,,,,,,,,,,,,,,,,,,,,,
,,,,,,222,204B,,,,,,,,,,,,,,,,,,,,,,
,,,,,,223,211,,,,,,,,,,,,,,,,,,,,,,
,,,,,,224,214,,,,,,,,,,,,,,,,,,,,,,
,,,,,,225,209,,,,,,,,,,,,,,,,,,,,,,
,,,,,,226,610,,,,,,,,,,,,,,,,,,,,,,
,,,,,,227,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,228,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,229,54,,,,,,,,,,,,,,,,,,,,,,
,,,,,,230,Γ12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,231,719,,,,,,,,,,,,,,,,,,,,,,
,,,,,,232,720,,,,,,,,,,,,,,,,,,,,,,
,,,,,,233,51,,,,,,,,,,,,,,,,,,,,,,
,,,,,,234,24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,235,651,,,,,,,,,,,,,,,,,,,,,,
,,,,,,236,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,237,106,,,,,,,,,,,,,,,,,,,,,,
,,,,,,238,126,,,,,,,,,,,,,,,,,,,,,,
,,,,,,239,136,,,,,,,,,,,,,,,,,,,,,,
,,,,,,240,735,,,,,,,,,,,,,,,,,,,,,,
,,,,,,241,541,,,,,,,,,,,,,,,,,,,,,,
